id,name,yamakei,yamap,wikipedia,yamakei_id,yamap_id,wikipedia_title
219,大日岳,O,O,O,245,2457,飯豊山地
220,鎌ヶ峰,O,X,O,547,,鎌ヶ峰
221,大雪山,O,O,O,38,17628,旭岳
222,御座山,O,O,O,346,18,御座山
223,唐松尾山,O,O,O,365,15127,唐松尾山
224,飯豊山,O,O,O,244,155,飯豊山
225,湯ノ丸山,O,O,O,333,19,湯の丸レンゲツツジ群落
226,三ノ峰,X,X,O,,,三ノ峰 (両白山地)
227,鍬崎山,O,O,O,509,128,鍬崎山
228,中ノ岳,O,O,O,306,9824,中ノ岳
229,十勝岳,O,O,O,44,85,十勝岳
230,大洞山（飛龍山）,O,O,O,366,15129,飛竜山
231,笠ヶ岳,O,O,O,327,472,笠ヶ岳 (長野県)
232,黒法師岳,O,O,O,633,3034,黒法師岳
233,輝山,O,O,X,545,16303,
234,帝釈山,O,O,O,286,47,帝釈山
235,三方崩山,O,O,O,681,1383,三方崩山
236,大菩薩嶺,O,O,O,368,178,大菩薩嶺
237,白山釈迦岳,O,O,O,684,1375,白山
238,黒姫山,O,O,O,433,16886,黒姫山 (長野県)
239,幌尻岳,O,O,O,75,136,幌尻岳
240,櫛形山,O,X,O,588,,櫛形山 (山梨県)
241,美瑛岳,O,O,O,43,7161,美瑛岳
242,岩手山,O,O,O,171,38,岩手山
243,鳥甲山,O,O,O,322,19807,鳥甲山
244,志賀山,X,O,O,,14432,志賀山
245,白石山,O,O,O,364,15125,和名倉山
246,西吾妻山,O,O,O,219,156,西吾妻山
247,美ヶ原,O,O,O,440,148,美ヶ原
248,乾徳山,O,O,O,355,14413,乾徳山
249,仙ノ倉山,O,O,O,317,22,仙ノ倉山
250,北股岳,O,O,O,243,2420,飯豊山地
251,雲取山,O,O,O,363,25,雲取山
252,小金沢山,O,O,O,369,14781,小金沢山
253,オプタテシケ山,O,O,O,42,7162,オプタテシケ山
254,ニペソツ山,O,O,O,50,14842,ニペソツ山
255,山伏,O,X,O,644,,山伏 (赤石山脈)
256,景鶴山,O,O,O,293,17046,景鶴山
257,駒ヶ岳,O,O,O,304,160,越後駒ヶ岳
258,七面山,O,O,O,643,8268,七面山
259,大雪山,O,O,O,36,4187,旭岳
260,月山,O,O,O,232,43,月山
261,小秀山,O,O,O,550,9322,小秀山
262,石鎚山,O,O,O,929,766,石鎚山
263,西吾妻山,O,X,O,220,,西吾妻山
264,カムイエクウチカウシ山,O,O,O,80,3469,カムイエクウチカウシ山
265,谷川岳,O,O,O,313,19841,谷川岳
266,谷川岳,O,X,O,315,,谷川岳
267,東吾妻山,O,O,O,222,2874,東吾妻山
268,谷川岳,O,O,O,314,9544,谷川岳
269,田代山,O,O,O,285,203,田代山 (帝釈山脈)
